sig_id,dz:552
LJP005_A375_24H:H13,-0.006901274
LJP005_A375_24H:H14,-0.00273923
LJP005_A375_24H:H15,-0.015416649
LJP005_A375_24H:H16,-0.009297875
LJP005_A375_24H:H17,0.013496927
LJP005_A375_24H:H18,-0.004761398
LJP005_A375_24H:H19,0.034591171
LJP005_A375_24H:H20,0.011638137
LJP005_A375_24H:H21,0.057266869
LJP005_A375_24H:H22,-0.049624143
LJP005_A375_24H:H23,0.053629408
LJP005_A375_24H:H24,-0.008662154
LJP005_A375_24H:I01,-0.030315605
LJP005_A375_24H:I02,0.081743303
LJP005_A375_24H:I03,-0.022361995
LJP005_A375_24H:I04,-0.037050972
LJP005_A375_24H:I05,0.077730683
LJP005_A375_24H:I06,0.050713399
LJP005_A375_24H:I07,0.006248808
LJP005_A375_24H:I08,-0.017240932
LJP005_A375_24H:I09,0.008653025
LJP005_A375_24H:I10,-0.021918781
LJP005_A375_24H:I11,0.100908144
LJP005_A375_24H:I12,0.102447591
LJP005_A375_24H:I13,-0.090002971
LJP005_A375_24H:I14,-0.036711511
LJP005_A375_24H:I15,-0.070661176
LJP005_A375_24H:I16,-0.014687712
LJP005_A375_24H:I17,-0.010658536
LJP005_A375_24H:I18,0.032653686
LJP005_A375_24H:I19,-0.122202367
LJP005_A375_24H:I20,-0.085975379
LJP005_A375_24H:I21,-0.032168377
LJP005_A375_24H:I22,-0.049009324
LJP005_A375_24H:I23,0.010341751
LJP005_A375_24H:I24,0.016617711
LJP005_A375_24H:J01,-0.056293141
LJP005_A375_24H:J02,0.012640107
LJP005_A375_24H:J03,0.057673105
LJP005_A375_24H:J04,0.014469027
LJP005_A375_24H:J05,0.040181001
LJP005_A375_24H:J06,0.040457319
LJP005_A375_24H:J07,-0.05107818
LJP005_A375_24H:J08,0.014862617
LJP005_A375_24H:J09,0.081842958
LJP005_A375_24H:J10,0.106260698
LJP005_A375_24H:J11,0.025170937
LJP005_A375_24H:J12,0.016865889
LJP005_A375_24H:J13,0.073962752
LJP005_A375_24H:J14,0.094305573
LJP005_A375_24H:J15,0.097107814
LJP005_A375_24H:J16,0.061451763
LJP005_A375_24H:J17,0.031680016
LJP005_A375_24H:J18,-0.020601581
LJP005_A375_24H:J19,-0.132098694
