Drug,BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,PRAD,SKCM,STAD,UCEC,UCS
BEFETUPITANT,4.5843113101584584e-05,3.602893347692754e-05,4.089608354720263e-05,3.6417019848373874e-05,5.236336769383274e-05,3.590809746611564e-05,3.9701569421793705e-05,3.644949168370538e-05,4.2573970255700816e-05,3.61268695148572e-05,3.6302682420783774e-05,3.628838692896783e-05,3.654361650219152e-05,3.620771944445547e-05,3.642936303480597e-05,4.0494473720020475e-05,3.633688137318949e-05
CGS-27023A,4.013542821893064e-05,3.950588780570258e-05,4.1142155329196066e-05,4.4121514745270964e-05,4.22140361520465e-05,3.939095764754671e-05,4.228996467442317e-05,4.381070837688282e-05,4.1926030862157615e-05,4.0682859213972656e-05,3.825848321789854e-05,4.044610416898988e-05,3.9061674907600344e-05,4.065649769611079e-05,4.0420237285329144e-05,4.118283999625468e-05,4.20164379710261e-05
KAINIC ACID,3.582993161686511e-05,3.468833732990907e-05,4.2366454289372803e-05,4.163733668917537e-05,4.327313654803338e-05,3.347941365890802e-05,3.886792405092502e-05,3.3132686964907825e-05,3.850813863328836e-05,3.7108971096539246e-05,3.3191372907474534e-05,3.347238233070916e-05,3.66315220470801e-05,3.797395411819921e-05,4.909806843423279e-05,3.961536419399273e-05,3.802492561179252e-05
BAY1125976,0.0028482838643392803,0.004289727509100901,0.00477811936796976,0.006209524924620951,0.004744578529040473,0.005161841027729326,0.002676416243724873,0.007939071471287239,0.004481961060467411,0.0034731394534830255,0.004611245837087449,0.003999194200998092,0.007137836151376209,0.0046713541723938,0.004670061994673748,0.0026020975515991733,0.00764615369685756
IRAK INHIBITOR 5,4.308540667056206e-05,4.376253419526372e-05,3.7609954982599596e-05,5.1222012539597384e-05,3.755496557552351e-05,4.7138645861121056e-05,4.132227713001257e-05,4.8259203982794604e-05,4.8816078783017465e-05,4.615028252742744e-05,4.325109654061196e-05,3.7298913889717104e-05,4.8201237914549235e-05,5.042040393299942e-05,3.763158511162554e-05,3.73747112869106e-05,3.7229424267053244e-05
IXABEPILONE,0.0008742803345799413,0.0013072440763298213,0.0014599610831191353,0.0019161768603800121,5.45386715233805e-05,6.144338171300571e-05,5.6344605803415395e-05,5.7223025233956456e-05,5.725995628954742e-05,0.0012361396516056167,0.0019968458225441605,5.632559102670306e-05,6.204629101340976e-05,0.0016580897991016585,0.0016520117084012232,0.0007153783999713411,0.002695809986822079
5-HYDROXYETHOXY-N-ACETYLTRYPTAMINE,4.179505710300022e-05,4.6194558666223856e-05,4.7196127493523836e-05,5.11622051085224e-05,4.050242831534409e-05,4.01178386664503e-05,4.21977155053845e-05,5.12362303495173e-05,4.0310834113285466e-05,4.047607718412481e-05,4.325004024958702e-05,4.3231643039806434e-05,5.388735507770147e-05,4.556349589850238e-05,4.0407755091241223e-05,4.544524991083473e-05,4.004886967837128e-05
GLYCOCHENODEOXYCHOLIC ACID,4.620909912108335e-05,4.714597877323532e-05,4.9848193402687204e-05,4.76832402334813e-05,4.929475976600027e-05,4.831116683237734e-05,4.821689000571742e-05,4.739991556158485e-05,4.907059472148764e-05,4.872845498077526e-05,4.424923545229875e-05,4.527162698783193e-05,4.069169231264036e-05,4.627348173957329e-05,4.7177837578683926e-05,4.836852003571533e-05,3.94897876142964e-05
3-METHOXYSALICYLIC ACID,3.9183875167428775e-05,3.9726873263146676e-05,4.237738215169887e-05,3.9762769240120044e-05,4.18975534670383e-05,3.8652855521007974e-05,4.619712697618624e-05,4.058281155169911e-05,4.285883663817112e-05,4.389525541989435e-05,3.767271431395394e-05,4.915947021085989e-05,4.8602745382469804e-05,4.3164771150054575e-05,3.517027072769891e-05,3.781937607113619e-05,3.771804890620243e-05
ABT-199,0.0018268418294716724,0.0027473439526198603,0.0030621637893629636,0.004600469119048651,0.0035044590882641453,0.00538287396855298,0.001977484904855012,0.0058636628923935605,0.0038125408337849878,0.00256317458113689,0.00417625049608926,0.002954070008970915,0.006086376837278037,0.003996242873436142,0.0034494831934688283,0.0014973460126265531,0.005647430272558665
