Drug,BLCA,BRCA,CESC,COADREAD,ESCA,GBM,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,PRAD,SKCM,STAD,UCEC,UCS
TAGITININ A,8.36732665735218e-05,5.82637134818556e-05,8.22663094977435e-05,8.521913662917646e-05,6.835330957821551e-05,7.182395699750959e-05,7.227739503337949e-05,7.814816696703704e-05,6.231428098586397e-05,5.5643927313799596e-05,8.157519531352426e-05,7.581763496721043e-05,5.156695580005374e-05,5.4506971894083085e-05,7.438780948002765e-05,4.848887235851776e-05,7.306075380502473e-05
EGLUMEGAD,4.522345380807187e-05,4.527586762788829e-05,4.600463366707099e-05,4.328137300071203e-05,4.798965755300718e-05,4.697818955056948e-05,4.640752366946951e-05,4.374467443365585e-05,4.63092470789936e-05,4.5165803836990906e-05,4.165786085529944e-05,4.4654992010933694e-05,4.1856169895993636e-05,4.326792155895663e-05,4.299912566087912e-05,4.514274372799337e-05,4.3325989121998265e-05
MEN 10376,4.7481633934007124e-05,4.346949176983664e-05,4.5464801298181925e-05,4.215203301360611e-05,4.218813947572434e-05,5.6122320615934e-05,4.671981204696914e-05,4.1219417624802e-05,5.478113371392047e-05,4.137840583921641e-05,4.1438783771807254e-05,5.371494076033389e-05,5.323638425034813e-05,5.470477722979582e-05,4.216397789329196e-05,4.758012715197783e-05,4.202585550888981e-05
SC 22716,6.095954980832284e-05,6.886004238150087e-05,6.607134014481489e-05,6.122948127776167e-05,8.233856657937123e-05,6.0180361537263245e-05,7.879020658184473e-05,6.148115364144325e-05,7.109493945608048e-05,6.505722184522445e-05,6.107232084997795e-05,7.683095500635844e-05,6.148243442345669e-05,6.475455185541374e-05,6.594067944529126e-05,6.853289384120549e-05,6.171937497155e-05
19608-29-8,3.307779836243115e-05,3.774763952122881e-05,3.579168515149045e-05,3.86429945877214e-05,2.9748328103364214e-05,2.9221089958784888e-05,2.9434903277332783e-05,2.864768611948333e-05,2.9798452471162048e-05,3.833693030170545e-05,3.826229903730014e-05,2.9151196278494342e-05,2.981844606476999e-05,3.751704125940333e-05,5.4858944869009364e-05,3.877405152034679e-05,4.9161989077276785e-05
4-METHANESULFONYL-BENZAMIDINE,5.4692566415424625e-05,5.5542075433088295e-05,7.080208392928205e-05,8.689637179265805e-05,7.151326915136861e-05,8.959082362625906e-05,6.671732862380844e-05,6.201000173319766e-05,5.606284272488274e-05,6.267134793049321e-05,7.468151387412721e-05,5.081174420021223e-05,8.278606801767177e-05,6.710162200895925e-05,7.389993631265212e-05,5.92310764647015e-05,6.204826410048687e-05
UDP-GLUCOSE,4.7367573167609345e-05,4.500306150002006e-05,4.3231399836977736e-05,4.4100646240626395e-05,4.935458967341407e-05,4.2054017533441205e-05,4.3946616174373205e-05,4.669092747923317e-05,5.114579837791405e-05,4.7199964744317135e-05,4.2184222750296474e-05,4.345834410256933e-05,4.615310526602643e-05,4.918798628136375e-05,5.172678082166572e-05,4.442244016908512e-05,4.483883253447394e-05
"3-{[4-([AMINO(IMINO)METHYL]AMINOSULFONYL)ANILINO]METHYLENE}-2-OXO-2,3-DIHYDRO-1H-INDOLE",5.453262682832666e-05,4.211864125920587e-05,3.615921414088571e-05,3.698354118439818e-05,7.762058490648213e-05,3.187479011259146e-05,4.8547776372969285e-05,3.3097438368936154e-05,3.5574238555437315e-05,4.4106191073815726e-05,4.90246220824256e-05,4.718769644384392e-05,4.231650982068145e-05,5.701433260084463e-05,5.758569300079755e-05,4.958480286944384e-05,3.3051177192514106e-05
NAPHTHALENE-2-SULFONIC ACID,4.919295542512362e-05,4.9145320180882185e-05,6.073785784192542e-05,6.8268203270874e-05,5.843510816822705e-05,7.001774034085828e-05,5.856854889775126e-05,6.0316174119682305e-05,5.188185408048444e-05,5.343363531189204e-05,7.142493030247552e-05,4.8597164288661345e-05,6.575863036490177e-05,5.842640396448226e-05,6.184514112255402e-05,5.3881721816929735e-05,5.2700902889505e-05
THIAMYLAL SODIUM,3.915581236015251e-05,3.993957482705259e-05,3.87482063601434e-05,4.1048404458385624e-05,4.3314217713764455e-05,0.0022163766458680335,4.069258878156134e-05,4.305414446264066e-05,4.021921492815372e-05,4.1556093257382577e-05,4.2742636808536463e-05,4.05739756307402e-05,3.844015963338969e-05,4.0737796409610324e-05,4.535748299991538e-05,3.936390655965635e-05,4.2588990558535756e-05
TYRPHOSTIN AG 1296,5.568783074102771e-05,4.615280843727026e-05,4.657853495588596e-05,4.144715889940737e-05,4.084035313144561e-05,4.988625321008065e-05,4.730381294645818e-05,4.190563636153275e-05,4.9533615782408254e-05,5.1815560794656234e-05,4.9032379736280765e-05,4.826200274313254e-05,4.131562501062915e-05,4.9778009989659636e-05,4.12496343681628e-05,4.625968879450438e-05,5.171049540222381e-05
L-2-AMINO-4-METHOXY-CIS-BUT-3-ENOIC ACID,3.4163177701799664e-05,3.4219806381763554e-05,3.3687108097776564e-05,3.3941975509874735e-05,3.352864470540823e-05,3.391904707987992e-05,3.7772619653826674e-05,4.518718050816712e-05,3.3787622301240087e-05,3.401299355690908e-05,4.2286941574730546e-05,3.3791614136549506e-05,3.430417568475487e-05,4.242536964063084e-05,4.022340109906199e-05,3.421419758504233e-05,3.326835468542132e-05
TG7-171,3.3145817211070226e-05,3.0118260954032124e-05,2.971673588727231e-05,3.021408657092371e-05,4.0793002503199126e-05,3.3963549073693644e-05,3.9191804412643265e-05,4.196702112566893e-05,3.715602127777122e-05,3.977879611271185e-05,3.7621659487316e-05,3.630208105763162e-05,3.070953146714696e-05,3.644506395591242e-05,3.627412351933982e-05,3.419641484795209e-05,2.9594735837535792e-05
"2',3'-DIDEOXYADENOSINE",,,,,,,,,,,,,,,,,
BIMATOPROST,4.55003116009233e-05,4.454262409235532e-05,4.720338289181564e-05,5.300160068211212e-05,4.782380115951332e-05,4.482187580033285e-05,4.4900126879556856e-05,4.698224977802997e-05,4.774983855280735e-05,4.92399539329725e-05,4.637146674917846e-05,4.4422241262688846e-05,4.876489240186283e-05,5.232388342395023e-05,4.924680191930493e-05,5.0420901474201644e-05,4.6070728485826205e-05
FINAFLOXACIN,3.129731074244308e-05,2.876367088764149e-05,3.2792945068313545e-05,4.476255213761652e-05,3.745109201462826e-05,2.8216821435772998e-05,3.178633736538591e-05,4.2927179407963675e-05,3.568805377189786e-05,3.784455466571466e-05,3.7861298368048e-05,3.376960052506948e-05,5.7852439228504615e-05,2.8224869189001836e-05,4.230582820035116e-05,2.8736809813058886e-05,2.8940149443487544e-05
FOSBRETABULIN TROMETHAMINE,5.840385807781133e-05,5.709726388409736e-05,5.75342994672135e-05,6.597227709953765e-05,5.492932299448781e-05,5.9906717300608076e-05,5.527245326298612e-05,5.6689470998701906e-05,5.575848931015042e-05,5.587557710614365e-05,6.212058087732315e-05,5.616655081816315e-05,5.910839587552085e-05,5.6294564339571425e-05,5.712352663943916e-05,5.7107721540908125e-05,6.486962253913731e-05
MIDODRINE,4.3157252680655344e-05,4.022145928046128e-05,4.382548528027253e-05,3.9862966253298435e-05,4.4773798932799176e-05,4.651577034607269e-05,4.51147787834724e-05,3.9138608234132036e-05,4.0291913900167536e-05,4.165014695837727e-05,4.283993955284889e-05,4.7535195330726865e-05,4.416756241430992e-05,4.412392004440945e-05,3.999128379729537e-05,4.492662168876563e-05,4.5304473943554946e-05
CANDOXATRILAT,3.410721895424719e-05,3.2605914297653914e-05,3.303557491815788e-05,4.15260792365893e-05,3.3326384962231986e-05,3.296380249777912e-05,3.459131601809195e-05,3.243555921867245e-05,3.3322782422881534e-05,3.8153460045190194e-05,3.3118426620016526e-05,3.2862585012239225e-05,3.28027596004107e-05,3.298949584680592e-05,3.36097462027203e-05,3.843847493219761e-05,3.239205513632955e-05
VINDESINE,4.375246614823977e-05,4.6365850939438834e-05,4.3819100752292605e-05,5.279026616927823e-05,5.6133551944847045e-05,4.4180391666329795e-05,4.861001805793848e-05,4.307948713368677e-05,4.446321959406657e-05,4.984180939393003e-05,4.273301088336959e-05,4.383000167192956e-05,4.3917385523351144e-05,4.871550620864822e-05,5.1050597935378884e-05,4.381030299569731e-05,4.3516911691290795e-05
NARATRIPTAN,4.340504648678088e-05,4.5781829540635166e-05,4.770630390181201e-05,4.348854818041106e-05,4.551107411609592e-05,4.078723512425622e-05,4.478099454226133e-05,4.5489423603879314e-05,4.3799816608926305e-05,4.252704744337403e-05,4.5663032189067865e-05,4.315608701287654e-05,4.658519371795071e-05,4.249330483201278e-05,4.8494433695030016e-05,4.37138750156042e-05,3.956912294354552e-05
CUTAMESINE,5.00812200167724e-05,4.4195259763278995e-05,3.998102142188253e-05,4.158401595424134e-05,6.450419425782072e-05,4.295394010738816e-05,4.52330041718857e-05,4.839584009822365e-05,4.012223379931515e-05,4.633301637629274e-05,5.3661387835949154e-05,5.135520903261147e-05,4.4504763326914785e-05,4.959065041435546e-05,5.06764075142447e-05,3.6547956459278993e-05,4.518217734720201e-05
RS 67333,2.978913525432732e-05,3.0138558028216814e-05,2.9558729809060506e-05,3.466662201398054e-05,3.0387279941379474e-05,2.945677565425464e-05,2.9766897156401526e-05,2.925288641070647e-05,2.980208256974305e-05,3.289434544160542e-05,2.954958778926797e-05,2.983746064919165e-05,2.940794917418678e-05,3.000103867440016e-05,3.439408864696668e-05,3.4220789385327206e-05,2.9954693397633075e-05
MYCOPHENOLATE MOFETIL,4.206236865343963e-05,4.023248927301298e-05,4.0688140086845194e-05,4.082836085951284e-05,4.00316373689252e-05,4.5459244163791487e-05,4.139307458133087e-05,4.0330598009946726e-05,4.497281711286787e-05,4.545785277103925e-05,4.7099561273556153e-05,4.0089714567769635e-05,4.0401162649825915e-05,4.507114700323443e-05,4.080471114773299e-05,4.0515536470364586e-05,4.258693146119167e-05
RIBOSE 1-PHOSPHATE,5.798807037988415e-05,6.126745880951665e-05,6.268955119300176e-05,5.149812027680661e-05,5.202216801177102e-05,6.053773766523627e-05,5.797218527399371e-05,5.1572999975796293e-05,5.8924316379335965e-05,5.701476055268977e-05,5.1273345953649376e-05,5.915371131943428e-05,5.9551443331979566e-05,5.149969350587085e-05,5.235691131289749e-05,6.377776500048597e-05,5.101789312079458e-05
STEARIC ACID,6.186015781049458e-05,5.555450576281104e-05,5.512104559581456e-05,6.251806229133405e-05,8.002554808250594e-05,6.598298639307553e-05,6.428031587465532e-05,5.7292286923529125e-05,5.611272858851698e-05,6.132062617955591e-05,6.533050901292259e-05,6.41355742885456e-05,6.479790986035645e-05,6.406101410290249e-05,7.768917166282105e-05,6.382194904705978e-05,5.587181841072892e-05
L-765314,3.878357072766236e-05,3.3539550321115526e-05,4.210380984172993e-05,3.33799107060651e-05,4.4158525792516324e-05,4.7345047210721973e-05,3.74278950746084e-05,3.294053863466303e-05,3.3185686172603087e-05,3.292772426811845e-05,3.3116313814704263e-05,4.386582553847383e-05,4.2829974148478415e-05,3.8554306466288345e-05,3.361840578277452e-05,3.844656730758819e-05,4.471563520362997e-05
131513-18-3,3.716044154835641e-05,3.390758625614225e-05,3.67911533050672e-05,3.436962663082595e-05,3.595982698590969e-05,4.4515875552451175e-05,3.811612667174441e-05,3.667577518522307e-05,4.107525268615909e-05,3.457166032536842e-05,3.475134782059989e-05,3.47807436007311e-05,3.534650506341191e-05,3.499636906051733e-05,4.1476757190971396e-05,3.633309076459243e-05,3.507723783213119e-05
DICYCLOMINE HYDROCHLORIDE,6.502301852123704e-05,6.997861742251344e-05,6.937754583958119e-05,6.746837996389966e-05,7.798130160276972e-05,6.687814833079111e-05,6.68150211991952e-05,6.676262613774972e-05,6.669039062900107e-05,6.726860414671397e-05,7.128548257649631e-05,6.748126298162449e-05,6.220973853513481e-05,6.27530475596842e-05,8.015685475719788e-05,7.095944116162939e-05,6.767128531630798e-05
MOEXIPRIL,3.9575611237405355e-05,3.798545059407941e-05,3.558373981892639e-05,3.589935679995645e-05,4.711957218102102e-05,3.5248364072022826e-05,4.173363556181687e-05,3.534584970477816e-05,3.5567782357353835e-05,4.560935807342926e-05,3.862971035286063e-05,3.834638766683396e-05,3.5740233882122945e-05,3.527773393646244e-05,4.534011669133315e-05,3.7397547793142296e-05,3.517835976455177e-05
RU78783,6.194767498052434e-05,5.177414782617988e-05,7.213582294338652e-05,6.502596370720725e-05,4.900175692218326e-05,6.537423857764272e-05,9.176444495142206e-05,5.5000131684851346e-05,5.355789582549639e-05,5.045850695809572e-05,6.023754715280802e-05,8.472320686999038e-05,4.829726373207782e-05,6.114008856822857e-05,7.293761784204183e-05,5.2831017058809256e-05,6.587022368481145e-05
473727-83-2,3.713802570103684e-05,3.580653486433794e-05,3.896414355072008e-05,3.843019432644027e-05,3.618149432625405e-05,4.1458768173701456e-05,3.8837041072712866e-05,4.13670571358642e-05,4.4444469302605915e-05,3.888183424633864e-05,3.750501056388631e-05,3.8853688411464216e-05,4.758273211472202e-05,4.203541086920414e-05,4.0165351154703425e-05,3.996076544082201e-05,3.781483291792052e-05
BETA-NALTREXOL,6.079246410280977e-05,5.472874479825212e-05,5.929696472859808e-05,6.721969118521351e-05,5.624937478244439e-05,5.393272986733383e-05,4.878619629863041e-05,6.016232049792008e-05,5.601227697664478e-05,5.372105851512794e-05,4.289670296943419e-05,5.71288961817554e-05,6.709878130003231e-05,5.681935822322581e-05,5.857501544008824e-05,5.2302826182200454e-05,6.800888883175798e-05
D-SERINE,4.208072317022356e-05,4.115898459870133e-05,4.662458748042407e-05,4.1039299004505134e-05,4.225520899367084e-05,4.155661849498064e-05,4.561546245675559e-05,4.3836745956449895e-05,3.837813131741532e-05,4.269312184284868e-05,4.224626090995072e-05,4.3901829390239395e-05,4.056454426357716e-05,4.311783721023825e-05,4.597126429512779e-05,4.043623905539189e-05,4.532406801360804e-05
FR 180204,9.399104152115158e-05,0.0001054980268816916,0.004136697999944565,0.005420094593194387,0.0001028642623751845,0.006333823567518302,0.0032704586760064283,0.00011833007143607403,0.00012764572240636077,0.000117904268364339,0.005668801587268094,9.228141775569144e-05,0.0071639673332490605,0.0047405642234419456,8.989682087717864e-05,9.8794293542511e-05,0.0001263768391581771
STAVUDINE,5.018011829401383e-05,5.076291033865457e-05,4.781883595110033e-05,4.616247396142246e-05,4.264821648890686e-05,5.74453511717931e-05,4.891919709547274e-05,4.339183505806311e-05,4.934970604432623e-05,4.968422740404354e-05,5.120919496464926e-05,5.249902646118932e-05,4.6660117991038507e-05,4.844562989225059e-05,4.536510688288048e-05,4.9391022871551694e-05,5.153348598554443e-05
CHEMBL222501,6.0578358139387106e-05,6.797782605257728e-05,5.1585000548465477e-05,4.1846098360252843e-05,5.0589187562221315e-05,4.780571395778958e-05,4.8636989037843174e-05,5.0788022496040006e-05,4.83205110191194e-05,5.601350079267129e-05,4.824628836897442e-05,4.615631569517995e-05,6.0806794919088e-05,4.121934994952668e-05,4.482084348074278e-05,4.896762957842676e-05,4.4945479477381766e-05
OXPRENOATE,4.5017996465384164e-05,4.549753023082525e-05,4.917915066333232e-05,4.675869624751489e-05,5.243490622247859e-05,4.829605165677684e-05,4.626765419539781e-05,3.611215196229365e-05,3.688307868507006e-05,3.68614363274492e-05,3.6060962079458116e-05,4.52617931763621e-05,3.66875813762576e-05,4.561464652321095e-05,4.604829084443491e-05,4.0668090909919286e-05,5.04903704145478e-05
GMC 2-83,3.98277839712373e-05,4.0242145898053017e-05,3.570943356113193e-05,4.657113428155984e-05,3.6210042893203746e-05,3.956500078385398e-05,3.778237581662699e-05,3.552364430511488e-05,4.0046013603535964e-05,4.152339981447393e-05,3.585527076069443e-05,3.877805503524633e-05,4.031038793941503e-05,4.627496090142109e-05,4.093750795186363e-05,4.1592256499040064e-05,3.5576489961894e-05
DIPHENYLENEIODONIUM CHLORIDE,4.64876422870033e-05,5.317082754582487e-05,5.8103925559367886e-05,6.781346398644128e-05,6.007528009211158e-05,6.390101800937441e-05,5.4612190737841996e-05,8.118649643706414e-05,6.091722181354486e-05,4.989507989925838e-05,7.205213640125812e-05,5.241479321615142e-05,6.719184659315894e-05,4.828703775106531e-05,5.268601587957876e-05,4.590673654516527e-05,5.86782834368272e-05
SULFISOXAZOLE,4.250753929717461e-05,3.4299872813831766e-05,4.210559039757285e-05,3.3823975340311565e-05,4.4882493663801334e-05,4.018173514260918e-05,3.609201313859151e-05,3.628877735922757e-05,3.33578661352862e-05,3.291505764657216e-05,3.423908561779116e-05,4.058383039713332e-05,3.8533010437400576e-05,3.58126205757412e-05,3.5729303308476184e-05,3.7305582019910554e-05,4.372501013342183e-05
NAQUOTINIB,0.00014058989921531272,0.00012459940493845018,0.00017343052692422363,0.00014293406060037695,0.00016842469295084972,0.00892735233207501,0.00011740321160482939,0.0001303388568080761,0.0063809623722958,9.420523283109323e-05,0.008026015462559594,0.0001480581446262112,9.563808841308432e-05,8.938322969302675e-05,0.00013364669992449102,0.00011320834107252046,0.0001265379751266306
CEP-37440,0.0001097946813993999,0.0001091855677697165,0.00010858311995191395,8.28741027637528e-05,7.668398256726634e-05,0.00012270544356544468,0.0001330125887023952,0.00014260388954204296,0.00010272827177652168,0.00010322856652806404,0.0001201650558912309,0.0001302213523074661,0.00011157089925116544,0.00011427366275770667,9.234392748568382e-05,0.00010796527122818428,0.00012650016513664596
IODIPAMIDE,4.616518999470413e-05,4.968768346576528e-05,5.1439851597763864e-05,4.330623578410829e-05,4.806018107035688e-05,5.513866526098218e-05,4.0179576291551205e-05,7.332231492240598e-05,4.2664178362833994e-05,0.004883301501222097,4.636673890217602e-05,5.153813745248371e-05,4.632822816864108e-05,3.6071879018288815e-05,4.253862582498466e-05,5.038623841266164e-05,4.680323362680379e-05
FILOREXANT,3.720535841309705e-05,3.7460492940356825e-05,4.30406783717605e-05,3.740573661072885e-05,3.737080462943795e-05,3.7053031131312716e-05,3.7287575849299e-05,3.781207224989729e-05,3.71263726635533e-05,4.8577646143097366e-05,4.395938187712352e-05,3.7045616913954995e-05,3.696035547674805e-05,4.264234412374369e-05,3.743118909592444e-05,4.130437394647557e-05,3.762329607101532e-05
HYDROCORTISONE SODIUM PHOSPHATE,3.8745823335163796e-05,4.483836850975371e-05,4.7198160782411186e-05,3.910941769953469e-05,3.914236007880996e-05,3.926988146517653e-05,4.567697079438767e-05,5.3952071865074094e-05,5.400250283031533e-05,3.9302646206499515e-05,4.7460395489938504e-05,3.881663595809621e-05,3.9074362547161026e-05,4.469615167036021e-05,4.705588146875415e-05,3.903099052637335e-05,3.902487304832412e-05
176977-56-3,3.716044154835641e-05,3.390758625614225e-05,3.67911533050672e-05,3.436962663082595e-05,3.595982698590969e-05,4.4515875552451175e-05,3.811612667174441e-05,3.667577518522307e-05,4.107525268615909e-05,3.457166032536842e-05,3.475134782059989e-05,3.47807436007311e-05,3.534650506341191e-05,3.499636906051733e-05,4.1476757190971396e-05,3.633309076459243e-05,3.507723783213119e-05
METOCURINE,4.4659924414694024e-05,5.0269830052712934e-05,4.5459542218341095e-05,4.1607197936189916e-05,4.86252035663043e-05,5.457398574929292e-05,4.62266590328437e-05,3.860071671108774e-05,4.719153925703934e-05,4.629360635687151e-05,4.12762057572599e-05,4.980892599741246e-05,5.804042189661778e-05,4.447723401009166e-05,4.749556408215956e-05,4.689871958425919e-05,4.3008623609816617e-05
3-CARBAMOYL-5-(4-PHENYLPHENYL)BENZOIC ACID,6.973917714714933e-05,7.525534024244466e-05,6.9079274524343e-05,6.126974962540423e-05,4.735578787754962e-05,6.443531679095706e-05,8.146386246843531e-05,6.585756582825837e-05,7.294658084695788e-05,7.146451036865976e-05,7.814794007699362e-05,7.350463332058953e-05,6.7321275849653e-05,9.028712361551036e-05,7.365588321518518e-05,6.165923501573425e-05,7.9449703714123e-05
RS-100235,2.978913525432732e-05,3.0138558028216814e-05,2.9558729809060506e-05,3.466662201398054e-05,3.0387279941379474e-05,2.945677565425464e-05,2.9766897156401526e-05,2.925288641070647e-05,2.980208256974305e-05,3.289434544160542e-05,2.954958778926797e-05,2.983746064919165e-05,2.940794917418678e-05,3.000103867440016e-05,3.439408864696668e-05,3.4220789385327206e-05,2.9954693397633075e-05
RITA,0.0003855776951068084,0.0011459905757413376,0.0009002774631694533,0.0008293332795198667,0.0012667811538866727,0.0009733995565221821,0.000507596659734467,5.173018251458291e-05,0.00119957019781687,0.0005366113416344178,5.295847506148343e-05,0.0007549159689530582,5.325237788295218e-05,5.18036874444044e-05,0.000720972101235878,0.0006928359236521509,0.002037400731146376
FOSTAMATINIB,0.0024513050693744896,0.0037184423848915554,0.004121184403378922,6.296878320851711e-05,6.410820943965205e-05,0.0062952922841062854,0.0032531305526324918,5.7039366242047635e-05,7.105688033200892e-05,0.003468557171690767,0.005641785147795088,0.004872884938219693,5.52760316386583e-05,0.004680804413409426,6.519021011934425e-05,0.0020081136638831552,0.007638681760615339
BOSENTAN,4.0493882010432606e-05,4.099614122727371e-05,3.8987253814868325e-05,4.004949167370143e-05,4.0977312609621475e-05,4.052919135243132e-05,3.8580001917355977e-05,4.0273051737549173e-05,4.172374954648315e-05,4.0374289673333914e-05,4.018601827892048e-05,4.060273796345139e-05,3.995819506150531e-05,4.1948435090164396e-05,4.324590629944617e-05,4.1785394222608856e-05,4.564122370357959e-05
LY 367385,3.8981576617683016e-05,3.0450369622643292e-05,3.0279779272731812e-05,3.955528008778504e-05,3.0572430147377025e-05,3.0462234485309825e-05,4.459756730914052e-05,2.966914830309817e-05,3.624263831927456e-05,3.641684373866588e-05,3.0045207070532024e-05,5.094298436524544e-05,4.1596682706226315e-05,3.020861577291736e-05,3.7695019740619e-05,3.66713391686058e-05,3.0204900326264385e-05
LORATADINE,4.252309350367702e-05,4.3581443818396586e-05,4.547198995761162e-05,4.3883683284270466e-05,4.474140997426053e-05,4.4973320201280005e-05,4.131851475560072e-05,3.963501506232016e-05,4.3543236051817056e-05,4.536882380448534e-05,4.3612682510276304e-05,4.18968786841375e-05,4.480518128237048e-05,4.477061961230064e-05,4.573581081805347e-05,4.401341284821505e-05,4.35344434746075e-05
FOSPHENYTOIN SODIUM,4.038419857809137e-05,3.961906527307769e-05,4.3839499306857766e-05,4.119195726425836e-05,4.5365257787847184e-05,3.8296801351800185e-05,4.261042700801551e-05,4.114673894170081e-05,4.239230281336326e-05,4.331982781624265e-05,3.935582855252007e-05,4.2552416211437584e-05,4.028853526808422e-05,3.827363851431254e-05,4.202813444940335e-05,4.28006510250403e-05,4.1148418456761985e-05
P-BENZOQUINONE,5.731043544541285e-05,6.153541584154884e-05,0.0029245197114532453,8.1629880491987e-05,6.498545822273944e-05,9.150306101793847e-05,0.002312051313337087,6.281490492900667e-05,6.609590133588677e-05,5.564682548204972e-05,7.588623425647252e-05,5.8680518287156045e-05,8.385753518921096e-05,8.33906393099096e-05,5.035073399191585e-05,5.530783024857861e-05,6.85163476968248e-05
CHEMBL597557,3.9366981571912335e-05,3.519302201688466e-05,3.520454939674331e-05,3.594400520903098e-05,3.52517374009435e-05,3.5018743211575544e-05,4.025364567319431e-05,3.5480537152998235e-05,3.5544632797496285e-05,3.534373053435164e-05,3.519242322535101e-05,3.50902798090058e-05,3.564311372270623e-05,3.558697578299157e-05,3.567328459338349e-05,3.8136438145713343e-05,3.500207516645739e-05
DANSYLAMIDE,3.39205523233387e-05,3.976562036496065e-05,3.3164671090961023e-05,3.4299494777577644e-05,5.113673332906018e-05,3.406457219231296e-05,5.0313193120616684e-05,3.3406862769598804e-05,4.1329425327699517e-05,3.974867328857279e-05,3.3684225408756044e-05,4.034702037022036e-05,3.5192372448357994e-05,4.2196874718641826e-05,4.2008057353278304e-05,3.375471709671312e-05,3.349663263984587e-05
PD 166285,8.411684373903192e-05,8.005945853951074e-05,0.00010009998100879394,8.382973921861456e-05,9.347805723058734e-05,0.004464160038559491,8.387709160841783e-05,8.178065230542751e-05,0.0031912041734304735,6.768020293372954e-05,0.004013556363038648,0.00010017570333224227,6.548296150538896e-05,7.317402818847079e-05,8.350722230026989e-05,7.198447799941877e-05,7.92185461753882e-05
DESOXYCORTICOSTERONE PIVALATE,4.5017996465384164e-05,4.549753023082525e-05,4.917915066333232e-05,4.675869624751489e-05,5.243490622247859e-05,4.829605165677684e-05,4.626765419539781e-05,3.611215196229365e-05,3.688307868507006e-05,3.68614363274492e-05,3.6060962079458116e-05,4.52617931763621e-05,3.66875813762576e-05,4.561464652321095e-05,4.604829084443491e-05,4.0668090909919286e-05,5.04903704145478e-05
GLYCOCYAMINE,2.921084308205032e-05,2.888272957657635e-05,2.9326902854676946e-05,2.9019983650996638e-05,2.926746795703548e-05,2.883195373692641e-05,2.8773213948045387e-05,2.830988047543663e-05,2.890697042005718e-05,3.245008021737079e-05,2.922408854298616e-05,2.878037977214114e-05,2.9027197057701728e-05,2.9577805419234106e-05,2.8966136478237654e-05,2.9096372203560162e-05,2.895699340077081e-05
CHEMBL488638,4.220592935665657e-05,4.650746993454973e-05,4.107401449244283e-05,4.133513229129404e-05,4.188864603532638e-05,5.172831923753378e-05,4.326154936656135e-05,4.078274933822627e-05,5.0576908982106095e-05,4.3050186901316184e-05,4.100720967988903e-05,4.128764175646432e-05,4.1142166409777546e-05,4.36291004857468e-05,4.835056850442629e-05,4.9146110202715165e-05,4.796699688168093e-05
NNC 269100,3.5608645557724846e-05,4.04555176572319e-05,4.765837195292208e-05,3.613946534818609e-05,3.632251127082301e-05,3.6164005264127806e-05,4.0236651164463136e-05,3.556261285170099e-05,3.608181212928628e-05,3.608024409616902e-05,3.543895747123926e-05,3.5659499135223135e-05,3.58482399254451e-05,3.593348733480001e-05,4.2528450266392e-05,4.0048016976947775e-05,3.525784575655528e-05
FASIDOTRIL,3.6942735345445146e-05,3.539802327829338e-05,3.4333305620594334e-05,3.88148108034425e-05,4.0809937620470165e-05,3.41252065551731e-05,3.832920219017121e-05,3.392192943495972e-05,3.446356750412523e-05,4.204699785531787e-05,3.597974919125568e-05,3.5709907174212635e-05,3.430295435783327e-05,3.415278427828586e-05,3.99082774709394e-05,3.7921583142410775e-05,3.381391896600606e-05
"3-(1H-INDOL-3-YL)-4-{1-[2-(1-METHYLPYRROLIDIN-2-YL)ETHYL]-1H-INDOL-3-YL}-1H-PYRROLE-2,5-DIONE",5.206376242210989e-05,3.87670601265548e-05,6.683904792777087e-05,4.039237664837479e-05,5.9964063539379105e-05,4.735868856017603e-05,6.39106163200041e-05,4.045878399025656e-05,5.293129576528918e-05,4.786927405568194e-05,4.0952234149404906e-05,5.031328373055586e-05,4.8162573187507865e-05,4.867281254008053e-05,3.999563049190095e-05,4.736604910705458e-05,3.973471822354262e-05
PELITINIB,0.0015838607361945546,0.002354061372910231,0.0026613919980837918,8.791955321355665e-05,0.005245268708078323,0.003992997750394737,8.015006798600146e-05,8.478153276016758e-05,0.0028543552377589543,6.752862304318994e-05,0.005049476325188603,9.469735518057742e-05,7.85181694303721e-05,5.86640241583136e-05,0.00417461077913482,0.001289051796826256,7.594805380558673e-05
DOPAMINE,4.374917232337396e-05,4.364354768289063e-05,4.13256699743684e-05,4.045056262826906e-05,4.3388940820463716e-05,4.422648404213684e-05,4.4898592682667236e-05,4.296275947379712e-05,4.1356213532093525e-05,4.112706194349945e-05,3.879610227582923e-05,4.583810992774659e-05,4.5646333248288614e-05,4.4891802598426244e-05,4.292412850384415e-05,4.16340955091171e-05,3.8666151309409675e-05
"PHENYLAMINOIMIDAZO(1,2-ALPHA)PYRIDINE",5.453262682832666e-05,4.211864125920587e-05,3.615921414088571e-05,3.698354118439818e-05,7.762058490648213e-05,3.187479011259146e-05,4.8547776372969285e-05,3.3097438368936154e-05,3.5574238555437315e-05,4.4106191073815726e-05,4.90246220824256e-05,4.718769644384392e-05,4.231650982068145e-05,5.701433260084463e-05,5.758569300079755e-05,4.958480286944384e-05,3.3051177192514106e-05
