Drug,COADREAD,LUSC,HNSC,STAD,KIRC,UCEC,BRCA,LIHC,CESC,LUAD,ESCA,PRAD,GBM,SKCM,BLCA,LGG,UCS
RS 67333,0.622657611097958,0.7903848641829866,0.8157306685755918,0.675520655887593,0.7588496174329239,0.6871687086562068,0.8033764240920345,0.7373594043299607,0.8292395035097231,0.8250798954769698,0.7677554816542043,0.7959154375115934,0.8142571671070706,0.8078222056159843,0.8555847789699291,0.8202465997351868,0.7891865815416012
MYCOPHENOLATE MOFETIL,0.863514671760196,0.8606589859001432,0.5455348627419865,0.5498437629182606,0.8564553395269576,0.559894312022943,0.5596235156709025,0.60877162913612,0.5438400323191176,0.5505852969524327,0.8889255805181118,0.5348913898863914,0.6618510821286744,0.7094180392081462,0.5587792322127773,0.68803538799015,0.5314915335537765
RIBOSE 1-PHOSPHATE,0.8120651699474241,0.6000932144951305,0.6492194085154974,0.7840632467478126,0.7565561752784506,0.5111739651770183,0.5997842082967707,0.7442970443067287,0.5263436187331701,0.7636681237846945,0.7927693602350075,0.5662994043026687,0.5468097735955565,0.8305722046601243,0.5492838055715892,0.5754308263571841,0.8281228005468764
STEARIC ACID,0.6657484401116139,0.5728731787992406,0.5807038596642617,0.24403967866042348,0.702558503689674,0.6534272735693496,0.546911830794872,0.7090880711952732,0.8074348533497325,0.5667145573668966,0.1755806923576222,0.5707342279779707,0.5696475037675781,0.6064501786959847,0.6621075374977146,0.7740145610524124,0.795565124472666
L-765314,0.8123353255755406,0.30926028268634,0.6843659245244089,0.8308674398017364,0.778821361016721,0.6251409603458888,0.8072074195550754,0.8534893823507621,0.43327202894450895,0.785290062632821,0.4052529562612228,0.3985682492608636,0.24955578620612023,0.5935338314936514,0.6001319706551368,0.8258292755909329,0.32174690492144997
131513-18-3,0.7264801183117424,0.5479631855046591,0.5466765619464259,0.4023907317378134,0.6113828535114401,0.5524247409253755,0.7369503635525947,0.5419299613943296,0.5468577811644881,0.688921916007774,0.5467142668167667,0.666897587058346,0.3541362886747468,0.5292443270836412,0.5405675617478531,0.5237496095649016,0.6514579261089436
DICYCLOMINE HYDROCHLORIDE,0.12010294158759566,0.5383132466011651,0.5360201884811241,0.511478213319411,0.29736041580248807,0.0917696104905304,0.5305825969281952,0.1167285107736884,0.16258375704687567,0.11309562051017502,0.02394687164427771,0.36308873742826286,0.19819383532649248,0.32552077060177814,0.5332917277888911,0.22691860870544117,0.23483943608349572
MOEXIPRIL,0.5365405388129475,0.5912560930494213,0.46314754924815904,0.35724385615864085,0.690117246130691,0.6628826618512738,0.6355683006901768,0.33367118158679854,0.7003856382674366,0.5829172057472853,0.25344033586537906,0.673008407988314,0.7323166843727056,0.6983251916075216,0.573516082101866,0.684334180131581,0.7029832029163464
RU78783,0.2078173357396706,0.5323386003649226,0.5311372776609494,0.09889100966448489,0.39214166237550174,0.2537995785982905,0.38252902839881536,0.41728323959082314,0.5086909029611629,0.3680494369988502,0.43670723666347633,0.511721641713909,0.20288564608112986,0.2815224938882097,0.1385344730729161,0.4193423814587638,0.23737432197493286
473727-83-2,0.5347726109285452,0.7570889708705829,0.5452733148257476,0.7460130934603151,0.6515888739426996,0.7875999016232458,0.8961872501087765,0.537102312427975,0.7748286563579161,0.8233104014460498,0.8778097285097995,0.3447644030105135,0.7001133521404953,0.6333734072836728,0.5664722856326267,0.5450700037763533,0.7845214559266629
BETA-NALTREXOL,0.09133079104168113,0.36250392478924964,0.6025472960929608,0.24019052321869655,0.27990114506048813,0.49088376260151606,0.43229341824508694,0.38891814560606813,0.264088297902377,0.7104300179289634,0.306769851831729,0.17752490203448457,0.45056896303055,0.33059372905177,0.24512117626283952,0.39417794704931475,0.15634361129973307
D-SERINE,0.5361878459895673,0.5382440968633473,0.5343700295897764,0.31664577658416765,0.5154798667181775,0.5636976022796814,0.5517358388189418,0.5527098255998916,0.5333860230075336,0.540534128608253,0.6875122410484862,0.7783572412752161,0.5421637819979477,0.5584436737994005,0.5435185668457483,0.5522236918778012,0.5367036289546274
FR 180204,0.0,1.6816748169956822e-06,0.0,1.3217045938731465e-11,7.933178158751293e-08,0.45736339997888736,0.4490139292198082,0.4243793971056357,1.4406259370654158e-38,0.0,2.867053789280859e-14,1.5916360195748253e-38,0.0,0.0,0.4302882409644796,1.99214756127232e-24,2.4937924598507485e-17
STAVUDINE,0.6948667825061857,0.39716670461382964,0.536403201428162,0.5415777618103201,0.7650821275540595,0.5353809747744961,0.347145699751912,0.46313602550085836,0.5826345982233747,0.5379635212183663,0.8434886704124575,0.6457878138318444,0.5320531512343021,0.557185885510404,0.5322844057381059,0.5394750689940674,0.5186858331058284
CHEMBL222501,0.5450098005890216,0.5388354662254626,0.5536212381601016,0.5285508031894204,0.2674060727217751,0.5210075870833265,0.0018950122837922004,0.008745695945938305,0.533617739066653,0.2698823711180346,0.5381754213340383,0.532337741741088,0.3186314738946604,0.5241766835992112,0.5363519906508848,0.21517158087064564,0.4457540809121665
OXPRENOATE,0.564008186393909,0.5581300115936475,0.5048155736220805,0.5648243126256602,0.7638834447956312,0.7930478533537231,0.5605981142298178,0.8916333025277954,0.5404730950758144,0.5478511671188581,0.2277351317871571,0.7855525396783977,0.44607857708394755,0.6076126970791363,0.5759929771276692,0.8473660585866767,0.4314230830830984
GMC 2-83,0.39540318663372004,0.812679446811752,0.8624250787560239,0.539707405162742,0.8694143942005458,0.7348773149736842,0.5427485890096209,0.5313174869838028,0.9324430664547875,0.8748312526405525,0.8908358276702464,0.7579020946642505,0.750219774180479,0.3097298621214388,0.7903013140840771,0.7715321594986639,0.5323125225889564
DIPHENYLENEIODONIUM CHLORIDE,0.040700063333637564,0.40060784272874655,0.28706948727524784,0.37855175223462656,0.014559084304138926,0.6496293652255836,0.37361290993844587,0.49665884899199075,0.5359971997978101,0.5335308737234955,0.1828269654717029,0.11526392847136885,0.13914973247136414,0.5407199055248956,0.595204248669983,0.17483059462892053,0.29781565414352834
SULFISOXAZOLE,0.7743735011119315,0.4590199874820924,0.6981571789762374,0.7265635606950418,0.6512236995179861,0.5407894609357643,0.5433767856755135,0.8371907455852258,0.4088284095066127,0.537140807693455,0.36994505175109277,0.5826904877987292,0.3993962174578639,0.6682137764358936,0.32019133600094113,0.7724828939136541,0.5356075549314046
NAQUOTINIB,2.215995211211682e-10,2.7164726865395196e-07,9.457310730164004e-05,7.920468546365141e-11,0.0001298766458941162,5.976086744359931e-07,2.0180104978048793e-09,0.0009839368788890003,1.046196813289492e-14,0.0,4.261792521694075e-20,0.0019973423571780034,0.0,0.005631244110055335,3.7256557182073024e-09,0.0,4.221996393057552e-06
CEP-37440,0.010407002251666776,1.1111725958608052e-07,0.44291897486720583,0.5077619066401934,5.774690744839384e-10,0.4529955122727448,0.0001064044007540893,0.48188562133794904,0.00020533409285970484,1.1666077262167856e-06,0.14743374383261038,4.4011245108952895e-06,5.9033400121008455e-08,2.030692425978999e-08,0.4561720652601301,0.0002112866498609083,0.5080091965050012
IODIPAMIDE,0.5082531444899129,0.15618361467794095,0.6101012517016233,0.5424373107462322,0.0012147319936096832,0.11927412361683815,0.1846666478093017,0.0,0.08290336321966263,0.3488807928917803,0.267119273018548,0.34954413613235535,0.08283344392276604,0.5343179543340371,0.2618791838952875,0.46553497883447104,0.3311239670614281
FILOREXANT,0.820427762930698,0.8127932203852234,0.815182300539071,0.5492675522615432,0.7490012913348708,0.7786492889131775,0.840269149015312,0.5368566516762849,0.6257953423652576,0.605667936686234,0.8444632925551729,0.8527573435560296,0.8071566472895986,0.6763460306897402,0.8552629008472238,0.858144904617125,0.7745977831103548
