Type,co-essentiality
BLCA,0.22727272727272727
BRCA,0.11822660098522167
CESC,0.1643835616438356
COADREAD,0.1073170731707317
ESCA,0.15813953488372093
GBM,0.11063829787234042
HNSC,0.16216216216216217
KIRC,0.09852216748768473
LGG,0.10101010101010101
LIHC,0.2242152466367713
LUAD,0.1346153846153846
LUSC,0.17592592592592593
PRAD,0.11707317073170732
SKCM,0.12682926829268293
STAD,0.11267605633802817
UCEC,0.1784037558685446
UCS,0.12871287128712872
